# z[m]=zi*speed_c*beta    Wtr/Z_0/L[1/(m^2*s]          Wz_l/Z_0/L[1/(ms)]                     
       0.661263               -3961320             -2119.82      
       0.668886               -3916120             -980.039      
       0.676552               -3910970              148.917      
       0.684262               -3943280              1131.92      
       0.692016               -4005910              1850.99      
       0.699813               -4087900              2220.28      
       0.707654               -4175880              2197.33      
       0.715539               -4255660               1789.2      
       0.723467               -4314080              1052.36      
       0.731439               -4340700               86.157      
       0.739455               -4329250             -979.528      
       0.747514               -4278520             -2001.03      
       0.755617               -4192580             -2839.93      
       0.763764               -4080330             -3381.91      
       0.771954               -3954350             -3552.78      
       0.780188               -3829230             -3329.39      
       0.788466               -3719510             -2743.64      
       0.796788               -3637670              -1878.8      
       0.805153               -3592310             -858.457      
       0.813561               -3586810              170.783      
       0.822014               -3618800              1060.28      
       0.83051               -3680390               1681.28      
       0.83905               -3759270               1944.33      
       0.847634               -3840540              1813.35      
       0.856261               -3908850              1311.92      
       0.864932               -3950840              520.504      
       0.873646               -3957180             -435.184      
       0.882405               -3924110             -1403.18      
       0.891207               -3854130             -2228.93      
       0.900052               -3755660             -2779.94      
       0.908942               -3641780             -2967.44      
       0.917875               -3528190             -2761.44      
       0.926851               -3430610             -2196.55      
       0.935872               -3362210              -1367.1      
       0.944936               -3331370             -412.149      
       0.954043               -3340150              507.372      
       0.963195               -3383890              1235.89      
       0.97239               -3451920               1650.07      
       0.981629               -3529310              1680.74      
       0.990911               -3599450              1325.77      
       1.00024               -3646990               651.395      
       1.00961               -3660570              -218.778      
       1.01902               -3634980              -1125.28      
       1.02848               -3572120               -1901.4      
       1.03798               -3480810              -2403.76      
       1.04752               -3375210              -2539.26      
       1.05711               -3272250              -2283.14      
       1.06674               -3188430              -1684.62      
       1.07642               -3136720              -858.409      
       1.08614               -3123970               36.4825      
       1.0959               -3149520                827.079      
       1.10571               -3205220               1360.14      
       1.11556               -3276980                1532.7      
       1.12545               -3347450               1313.24      
       1.13539               -3399520               748.947      
       1.14537               -3419760              -42.9169      
       1.1554               -3401250                -898.09      
       1.16547               -3345040              -1638.65      
       1.17558               -3260100               -2109.9      
       1.18573               -3161450              -2213.11      
       1.19593               -3067120              -1927.13      
       1.20618               -2994300              -1313.84      
       1.21646               -2955640              -505.837      
       1.2268               -2956440                321.502      
       1.23717               -2993400                987.93      
       1.24759               -3055240               1348.05      
       1.25805               -3125150               1324.13      
       1.26856               -3184440               924.322      
       1.2791               -3216800                241.846      
       1.2897               -3212050               -565.279      
       1.30033               -3168500              -1309.83      
       1.31101               -3093510              -1818.48      
       1.32174               -3001810              -1972.44      
       1.33251               -2912170               -1736.1      
       1.34332               -2842950              -1166.45      
       1.35417               -2807700              -400.484      
       1.36507               -2811830               376.973      
       1.37601               -2851250               977.661      
       1.387               -2913180                 1256.01      
       1.39803               -2979300               1145.59      
       1.4091               -3030170                676.537      
       1.42022               -3050180              -30.9617      
       1.43138               -3031460              -796.033      
       1.44259               -2976040              -1422.57      
       1.45383               -2895370              -1749.42      
       1.46513               -2807530              -1692.46      
       1.47646               -2732520              -1267.39      
       1.48784               -2687080              -586.657      
       1.49926               -2680180               169.268      
       1.51073               -2710570               799.274      
       1.52224               -2766990               1135.45      
       1.53379               -2831130               1088.87      
       1.54539               -2882530               674.717      
       1.55703               -2904210               9.15346      
       1.56872               -2887350              -721.731      
       1.58045               -2833920              -1313.09      
       1.59222               -2756140              -1598.66      
       1.60403               -2673210              -1498.17      
       1.61589               -2605860              -1041.12      
       1.6278               -2570450               -359.438      
       1.63974               -2574150               349.642      
       1.65174               -2612800                880.31      
       1.66377               -2672000               1078.46      
       1.67585               -2731260               887.709      
       1.68797               -2770040               367.159      
       1.70014               -2773880              -325.168      
       1.71234               -2738850              -979.005      
       1.7246               -2672850               -1395.19      
       1.73689               -2593260              -1446.69      
       1.74923               -2521760              -1118.44      
       1.76162               -2477570              -513.084      
       1.77405               -2471460                 179.9      
       1.78652               -2502290               742.965      
       1.79903               -2557230               999.081      
       1.81159               -2615760               868.551      
       1.82419               -2656160               395.518      
       1.83684               -2662550              -265.122      
       1.84953               -2630060               -897.05      
       1.86226               -2566590              -1292.78      
       1.87504               -2490280              -1322.15      
       1.88786               -2423590              -976.223      
       1.90072               -2385870              -371.405      
       1.91363               -2386770               288.525      
       1.92658               -2422930               780.603      
       1.93958               -2478980               938.467      
       1.95262               -2532710               709.938      
       1.9657               -2562670                176.067      
       1.97883               -2555630               -475.81      
       1.992               -2511310                -1016.63      
       2.00521               -2442540              -1255.85      
       2.01847               -2370890              -1109.29      
       2.03177               -2319000              -630.105      
       2.04512               -2302530               9.07798      
       2.0585               -2324380                577.429      
       2.07194               -2373550               869.287      
       2.08541               -2429070               779.585      
       2.09893               -2467570               343.402      
       2.1125               -2471960                -275.81      
       2.1261               -2437830               -846.019      
       2.13975               -2375240              -1153.02      
       2.15345               -2305010              -1081.42      
       2.16719               -2250950              -659.272      
       2.18097               -2230740              -48.6101      
       2.19479               -2249130               515.706      
       2.20866               -2295970               816.187      
       2.22257               -2350030               737.481      
       2.23653               -2387220               312.387      
       2.25053               -2390070              -289.822      
       2.26458               -2354680               -829.33      
       2.27866               -2292420              -1090.78      
       2.29279               -2225460               -969.83      
       2.30697               -2177940              -516.176      
       2.32119               -2166200               85.3672      
       2.33545               -2191990               589.202      
       2.34976               -2241700               789.312      
       2.36411               -2291820               604.683      
       2.3785               -2318620                113.983      
       2.39294               -2308110              -476.039      
