# z[m]                Wz_trx/Z_0/L[1/(m^2*s]           Wz_try/Z_0/L[1/(m^2*s]       Wz_l/Z_0/L[1/(ms)]
          236.25               -1.6189e+07                 -2.0048e+06                               0
         237.442              -1.60551e+07                -1.91993e+06                               0
         238.636               -1.6019e+07                -2.02917e+06                               0
         239.834              -1.58154e+07                -1.80178e+06                               0
         241.035              -1.58881e+07                -2.12564e+06                               0
         242.238              -1.57488e+07                 -2.0238e+06                               0
         243.445              -1.56981e+07                -2.09778e+06                               0
         244.655              -1.54298e+07                -1.73491e+06                               0
         245.867              -1.53522e+07                -1.75221e+06                               0
         247.083              -1.52489e+07                -1.71665e+06                               0
         248.302              -1.53195e+07                -2.02764e+06                               0
         249.523              -1.52151e+07                -1.98704e+06                               0
         250.748              -1.51425e+07                -2.00847e+06                               0
         251.976              -1.48819e+07                -1.65256e+06                               0
         253.206              -1.48441e+07                -1.74107e+06                               0
          254.44              -1.47109e+07                -1.63738e+06                               0
         255.677              -1.47746e+07                -1.92626e+06                               0
         256.916              -1.45826e+07                -1.70229e+06                               0
         258.159              -1.45524e+07                -1.80065e+06                               0
         259.405               -1.4465e+07                -1.78346e+06                               0
         260.653              -1.44472e+07                -1.90409e+06                               0
         261.905              -1.43584e+07                -1.88133e+06                               0
         263.159              -1.41159e+07                -1.54988e+06                               0
         264.417              -1.41384e+07                 -1.7475e+06                               0
         265.678              -1.40251e+07                -1.67214e+06                               0
         266.941              -1.39069e+07                -1.58573e+06                               0
         268.208              -1.38176e+07                -1.55596e+06                               0
         269.478              -1.37253e+07                -1.51897e+06                               0
          270.75              -1.37264e+07                -1.66771e+06                               0
