 # z[m]                Wz_trx/Z_0/L[1/(m^2*s]           Wz_try/Z_0/L[1/(m^2*s]       Wz_l/Z_0/L[1/(ms)]
         287.567               -8.13432e+06             -1.97078e+06             0
         288.882               -7.45898e+06                  -697131             0
         290.199               -7.30224e+06                  -460629             0
          291.52                -8.0054e+06             -1.94446e+06             0
         292.843               -7.16786e+06                  -344438             0
          294.17                -7.6377e+06             -1.36011e+06             0
           295.5               -7.38186e+06                  -923076             0
         296.832               -7.40324e+06             -1.04016e+06             0
         298.168               -7.27532e+06                  -857989             0
         299.506               -7.52056e+06             -1.42194e+06             0
         300.848               -6.88926e+06                  -231293             0
         302.192               -7.65567e+06             -1.83715e+06             0
          303.54               -7.02118e+06                  -638976             0
         304.891               -6.85421e+06                  -375927             0
         306.244               -7.48128e+06             -1.70134e+06             0
         307.601               -7.29639e+06             -1.40132e+06             0
          308.96               -6.72207e+06                  -321483             0
         310.323               -6.61176e+06                  -169727             0
         311.688               -6.88419e+06                  -783392             0
         313.057               -7.15322e+06             -1.38974e+06             0
         314.428               -7.26692e+06             -1.68472e+06             0
         315.803               -7.26786e+06             -1.75357e+06             0
         317.181                -7.2316e+06             -1.74747e+06             0
         318.561               -7.19412e+06             -1.73847e+06             0
         319.945                -7.1397e+06             -1.69508e+06             0
         321.331                -7.0063e+06             -1.49317e+06             0
         322.721               -6.72782e+06             -1.00045e+06             0
         324.113               -6.36137e+06                  -331204             0
         325.509               -6.21255e+06                 -96991.1             0
         326.907               -6.56367e+06                  -862816             0
         328.309               -6.93604e+06             -1.67074e+06             0
         329.713               -6.48528e+06                  -830973             0
         331.121               -6.09712e+06                  -115987             0
         332.531               -6.74944e+06              -1.4828e+06             0
         333.945               -6.36611e+06                  -776649             0
         335.361                -6.1689e+06                  -442484             0
         336.781               -6.65438e+06             -1.47413e+06             0
         338.204               -5.94552e+06                  -115192             0
         339.629               -6.62872e+06             -1.54166e+06             0
         341.058               -5.92009e+06                  -182356             0
         342.489               -6.41445e+06             -1.23011e+06             0
         343.924               -6.19162e+06                  -842130             0
         345.361               -5.85675e+06                  -229619             0
         346.802                -6.4774e+06             -1.52883e+06             0
         348.245                -6.0639e+06                  -758102             0
         349.692               -5.68167e+06                 -49591.8             0
         351.141               -6.07169e+06                  -886116             0
         352.594               -6.36268e+06             -1.52404e+06             0
         354.049               -6.17279e+06             -1.19923e+06             0
         355.508               -5.82433e+06                  -556725             0
         356.969               -5.59411e+06                  -150482             0
         358.434               -5.50632e+06                 -28883.5             0
         359.901               -5.48281e+06                 -35560.3             0
         361.371               -5.46141e+06                 -46076.5             0
         362.845               -5.42512e+06                 -26429.3             0
         364.321               -5.40247e+06                 -33728.7             0
         365.801               -5.46283e+06                  -206770             0
         367.283               -5.66971e+06                  -672665             0
         368.769               -5.94435e+06             -1.27385e+06             0
         370.257               -5.96738e+06             -1.37116e+06             0
         371.749               -5.53711e+06                  -560965             0
         373.243               -5.24488e+06                 -26634.8             0
         374.741               -5.70503e+06                  -997655             0
         376.241               -5.77633e+06             -1.19019e+06             0
         377.745               -5.16344e+06                 -13163.5             0
         379.251               -5.69603e+06             -1.12814e+06             0
         380.761               -5.41956e+06                  -623747             0
         382.273               -5.34552e+06                  -524056             0
         383.788               -5.53494e+06                  -951348             0
         385.307               -5.26539e+06                  -459761             0
         386.828               -5.37566e+06                  -728001             0
         388.353               -5.45801e+06                  -940014             0
          389.88               -5.00351e+06                 -77415.9             0
         391.411               -5.58895e+06             -1.29562e+06             0
         392.944               -5.21359e+06                  -590719             0
         394.481               -4.91636e+06                 -41941.3             0
          396.02               -5.35225e+06                  -959943             0
         397.562               -5.48862e+06             -1.27823e+06             0
         399.108               -5.14695e+06                  -639581             0
         400.656               -4.84174e+06                 -73605.1             0
         402.208               -4.79065e+06                 -15890.2             0
         403.762               -4.88502e+06                  -248996             0
          405.32               -4.98579e+06                  -494585             0
          406.88               -5.03188e+06                  -630496             0
         408.443               -5.01195e+06                  -633977             0
          410.01               -4.92652e+06                  -506121             0
         411.579               -4.78573e+06                  -267186             0
         413.152               -4.64291e+06                 -23911.3             0
         414.727               -4.62585e+06                 -32028.9             0
         416.305               -4.85078e+06                  -524141             0
